x, y, light_intensity, timestamp 
0, 0, 365, 1.52406e+09
0.112, 0, 368, 1.52406e+09
0.24, 0, 375, 1.52406e+09
0.367, 0, 383, 1.52406e+09
0.467, 0.001, 386, 1.52406e+09
0.578, 0.001, 392, 1.52406e+09
0.701, 0.002, 402, 1.52406e+09
0.836, 0.002, 404, 1.52406e+09
0.983, 0.003, 414, 1.52406e+09
1.133, 0.004, 425, 1.52406e+09
1.283, 0.004, 437, 1.52406e+09
1.433, 0.005, 448, 1.52406e+09
1.583, 0.005, 453, 1.52406e+09
1.731, 0.006, 460, 1.52406e+09
1.872, 0.007, 461, 1.52406e+09
1.998, 0.007, 467, 1.52406e+09
2.113, 0.006, 474, 1.52406e+09
2.216, 0.006, 478, 1.52406e+09
2.349, 0.005, 487, 1.52406e+09
2.455, 0.005, 494, 1.52406e+09
2.571, 0.002, 491, 1.52406e+09
2.669, -0.052, 497, 1.52406e+09
2.737, -0.155, 531, 1.52406e+09
2.782, -0.271, 544, 1.52406e+09
2.818, -0.417, 563, 1.52406e+09
2.837, -0.532, 575, 1.52406e+09
2.85, -0.658, 577, 1.52406e+09
2.858, -0.798, 556, 1.52406e+09
2.86, -0.947, 538, 1.52406e+09
2.857, -1.096, 534, 1.52406e+09
2.848, -1.246, 528, 1.52406e+09
2.834, -1.395, 551, 1.52406e+09
2.816, -1.544, 567, 1.52406e+09
2.793, -1.691, 578, 1.52406e+09
2.768, -1.834, 590, 1.52406e+09
2.741, -1.963, 598, 1.52406e+09
2.713, -2.081, 601, 1.52406e+09
2.684, -2.186, 610, 1.52406e+09
2.642, -2.321, 619, 1.52406e+09
2.602, -2.427, 622, 1.52406e+09
2.55, -2.533, 632, 1.52406e+09
2.483, -2.62, 637, 1.52406e+09
2.377, -2.704, 642, 1.52406e+09
2.285, -2.755, 645, 1.52406e+09
2.176, -2.8, 649, 1.52406e+09
2.052, -2.838, 646, 1.52406e+09
1.914, -2.868, 643, 1.52406e+09
1.766, -2.889, 642, 1.52406e+09
1.617, -2.901, 634, 1.52406e+09
1.467, -2.905, 631, 1.52406e+09
1.317, -2.902, 620, 1.52406e+09
1.168, -2.893, 612, 1.52406e+09
1.019, -2.877, 610, 1.52406e+09
0.871, -2.856, 600, 1.52406e+09
0.728, -2.83, 594, 1.52406e+09
0.598, -2.802, 589, 1.52406e+09
0.48, -2.773, 580, 1.52406e+09
0.376, -2.742, 580, 1.52406e+09
0.242, -2.696, 575, 1.52406e+09
0.136, -2.652, 576, 1.52406e+09
0.038, -2.6, 652, 1.52406e+09
0.02, -2.71, 811, 1.52406e+09
0.036, -2.817, 812, 1.52406e+09
0.05, -2.95, 815, 1.52406e+09
0.059, -3.079, 784, 1.52406e+09
0.061, -3.182, 759, 1.52406e+09
0.058, -3.299, 712, 1.52406e+09
0.045, -3.401, 672, 1.52406e+09
0.152, -3.337, 850, 1.52406e+09
0.247, -3.302, 861, 1.52406e+09
0.372, -3.273, 860, 1.52406e+09
0.471, -3.257, 856, 1.52406e+09
0.583, -3.246, 850, 1.52406e+09
0.707, -3.24, 841, 1.52406e+09
0.843, -3.239, 832, 1.52406e+09
0.99, -3.243, 818, 1.52406e+09
1.14, -3.252, 807, 1.52406e+09
1.285, -3.266, 790, 1.52406e+09
1.417, -3.282, 779, 1.52406e+09
1.537, -3.301, 764, 1.52406e+09
1.645, -3.321, 753, 1.52406e+09
1.782, -3.354, 738, 1.52406e+09
1.893, -3.387, 727, 1.52406e+09
1.997, -3.429, 737, 1.52406e+09
2.088, -3.503, 698, 1.52406e+09
2.142, -3.608, 665, 1.52406e+09
2.164, -3.721, 650, 1.52406e+09
2.156, -3.832, 648, 1.52406e+09
2.119, -3.928, 623, 1.52406e+09
2.045, -4.001, 631, 1.52406e+09
1.942, -4.052, 633, 1.52406e+09
1.83, -4.088, 628, 1.52406e+09
1.689, -4.121, 621, 1.52406e+09
1.58, -4.14, 612, 1.52406e+09
1.458, -4.157, 604, 1.52406e+09
1.324, -4.171, 597, 1.52406e+09
1.177, -4.184, 579, 1.52406e+09
1.028, -4.193, 576, 1.52406e+09
0.878, -4.2, 571, 1.52406e+09
0.728, -4.205, 564, 1.52406e+09
0.579, -4.208, 565, 1.52406e+09
0.429, -4.209, 558, 1.52406e+09
0.279, -4.209, 555, 1.52406e+09
0.129, -4.207, 546, 1.52406e+09
-0.021, -4.205, 536, 1.52406e+09
-0.171, -4.202, 530, 1.52406e+09
-0.293, -4.199, 523, 1.52406e+09
-0.4, -4.197, 519, 1.52406e+09
